date,tests_total,tests_total_accumulated,tests_positive,tests_positive_accumulated,tests_positive_ratio,laboratories_tests,capacities_daily,capacities_weekly_theoretically,capacities_weeklyweek_actually,laboratories_capacities,laboratories_samplebacklog,samplebacklog
2020-W10,69493,69493,1722,1722,0.0248,NA,19420,97800,56500,28,NA,NA
2020-W11,129291,198784,7502,9224,0.058,119,36120,181550,135250,39,NA,NA
2020-W12,374534,573318,25886,35110,0.0691,154,80860,167320,145500,108,NA,NA
2020-W13,377599,950917,33139,68249,0.0878,159,117030,186960,157660,126,NA,NA
2020-W14,417646,1368563,37649,105898,0.0901,163,130580,417420,301650,133,NA,NA
2020-W15,383694,1752257,30727,136625,0.0801,174,140854,845046,603620,138,24,3423
2020-W16,339983,2092240,22724,159349,0.0668,172,140616,901595,667170,135,35,2259
2020-W17,363659,2455899,18127,177476,0.0498,180,144980,955891,701268,138,28,2243
2020-W18,327799,2783698,12600,190076,0.0384,178,151063,981515,777476,135,30,3790
2020-W19,385638,3169336,10181,200257,0.0264,181,156630,1030122,825063,139,29,3224
2020-W20,431682,3601018,7142,207399,0.0165,183,159588,1057365,837380,139,29,1552
2020-W21,356489,3957507,5315,212714,0.0149,181,159974,1033129,821554,146,29,1578
2020-W22,408078,4365585,4335,217049,0.0106,175,167525,1115162,904760,146,26,1454
2020-W23,342328,4707913,3219,220268,0.0094,178,169653,1096075,907022,144,27,2478
2020-W24,327980,5035893,2956,223224,0.009,175,169858,1123147,951456,141,27,1646
2020-W25,384834,5420727,5588,228812,0.0145,175,172624,1131748,950136,143,22,553
2020-W26,472823,5893550,3919,232731,0.0083,182,170313,1120015,961246,147,31,3056
2020-W27,512969,6406519,3204,235935,0.0062,154,179914,1196640,989576,152,21,960
2020-W28,513572,6920091,3042,238977,0.0059,182,181011,1202855,1011165,155,25,3242
2020-W29,544219,7464310,3608,242585,0.0066,182,183567,1218086,1009137,155,22,1483
2020-W30,556634,8020944,4537,247122,0.0082,187,183310,1214556,1029124,159,20,1256
2020-W31,589201,8610145,5888,253010,0.01,175,182697,1205942,1009346,158,24,1274
2020-W32,719476,9329621,7374,260384,0.0102,174,189338,1252357,976187,155,35,10693
2020-W33,871191,10200812,8545,268929,0.0098,189,198518,1308423,1035958,164,44,17143
2020-W34,1034449,11235261,8868,277797,0.0086,197,208419,1362883,1126195,171,48,27828
2020-W35,1133623,12368884,8273,286070,0.0073,196,211002,1376233,1089353,171,49,36812
2020-W36,1052942,13421826,8203,294273,0.0078,195,223899,1458751,1130813,171,47,29964
2020-W37,1148465,14570291,10403,304676,0.0091,197,230691,1512155,1206181,172,51,32397
2020-W38,1147879,15718170,13647,318323,0.0119,206,235674,1545299,1297993,174,42,12617
2020-W39,1220279,16938449,15178,333501,0.0124,200,238740,1569687,1383313,169,46,15983
2020-W40,1129127,18067576,19930,353431,0.0177,198,258089,1705581,1527677,173,42,8245
2020-W41,1218988,19286564,30220,383651,0.0248,198,255622,1700116,1505312,173,46,16829
2020-W42,1284349,20570913,46000,429651,0.0358,205,268521,1790564,1578454,188,52,20799
2020-W43,1445463,22016376,80097,509748,0.0554,209,285630,1910486,1648626,183,57,69524
2020-W44,1663992,23680368,118111,627859,0.071,210,297894,1937312,1622662,185,69,98931
2020-W45,1634729,25315097,128537,756396,0.0786,208,305683,2020253,1710271,182,66,60113
2020-W46,1467454,26782551,128986,885382,0.0879,206,313386,2079778,1821960,181,59,23780
2020-W47,1400145,28182696,131185,1016567,0.0937,204,320686,2141208,1868184,177,50,17207
2020-W48,1381117,29563813,128882,1145449,0.0933,206,329486,2202408,1958814,181,54,14191
2020-W49,1395790,30959603,138305,1283754,0.0991,208,333476,2235788,1954270,180,51,12267
2020-W50,1516038,32475641,169520,1453274,0.1118,206,342616,2290632,2029684,180,51,19159
2020-W51,1676387,34152028,191718,1644992,0.1144,213,338390,2259498,1982363,187,57,21364
2020-W52,1090372,35242400,141413,1786405,0.1297,208,331055,2147637,1920859,185,43,11321
2020-W53,845729,36088129,129930,1916335,0.1536,205,335608,2129456,1891309,183,39,6507
2021-W1,1234110,37322239,158085,2074420,0.1281,206,338546,2247174,2019530,182,47,11691
2021-W2,1190777,38513016,124315,2198735,0.1044,206,347037,2320303,2148827,181,46,11336
2021-W3,1117130,39630146,110482,2309217,0.0989,208,353977,2372347,2185180,182,48,11980
2021-W4,1155450,40785596,97726,2406943,0.0846,208,353811,2375839,2207506,181,42,5572
2021-W5,1104870,41890466,82686,2489629,0.0748,208,354285,2377145,2246447,182,42,6202
2021-W6,1063470,42953936,68038,2557667,0.064,213,350401,2343259,2218267,186,46,5850
2021-W7,1108250,44062186,67925,2625592,0.0613,210,363862,2442710,2319328,183,44,6820
2021-W8,1175587,45237773,72129,2697721,0.0614,212,359585,2391289,2274497,185,44,3767
2021-W9,1157635,46395408,71792,2769513,0.062,213,358485,2386839,2264447,187,37,3525
2021-W10,1284448,47679856,85731,2855244,0.0667,217,360911,2414443,2304591,187,38,2893
2021-W11,1374661,49054517,108192,2963436,0.0787,212,352249,2360403,2251915,183,43,4766
2021-W12,1422960,50477477,132274,3095710,0.093,209,351913,2334123,2221205,181,39,8033
2021-W13,1186007,51663484,129332,3225042,0.109,211,354605,2342859,2231217,184,31,2527
2021-W14,1177749,52841233,141499,3366541,0.1201,213,355135,2324017,2250579,185,44,3631
2021-W15,1321244,54162477,163933,3530474,0.1241,214,359661,2408563,2319615,186,40,4205
2021-W16,1436474,55598951,177793,3708267,0.1238,216,358371,2404193,2319115,185,37,3786
2021-W17,1370030,56968981,152600,3860867,0.1114,215,360823,2416463,2325965,187,36,2280
2021-W18,1264101,58233082,129152,3990019,0.1022,216,366449,2456944,2369910,188,40,2350
2021-W19,1107022,59340104,90656,4080675,0.0819,214,363077,2402727,2329088,185,36,3436
2021-W20,1226169,60566273,70540,4151215,0.0575,213,364857,2451667,2382881,185,30,821
2021-W21,955957,61522230,39554,4190769,0.0414,212,363907,2417587,2352558,185,36,1832
2021-W22,888506,62410736,27609,4218378,0.0311,212,364533,2437987,2364943,186,NA,NA
2021-W23,840267,63251003,19346,4237724,0.023,213,360933,2427007,2342683,187,NA,NA
2021-W24,735246,63986249,10488,4248212,0.0143,209,362787,2437015,2353835,183,NA,NA
2021-W25,718914,64705163,6949,4255161,0.0097,213,361607,2424015,2338919,187,NA,NA
2021-W26,731164,65436327,5918,4261079,0.0081,218,348633,2340327,2248881,188,NA,NA
2021-W27,616567,66052894,6897,4267976,0.0112,216,347543,2324017,2249351,186,NA,NA
2021-W28,612370,66665264,9874,4277850,0.0161,212,361935,2432421,2351543,185,NA,NA
2021-W29,598947,67264211,13814,4291664,0.0231,212,347883,2331617,2245249,186,NA,NA
2021-W30,587834,67852045,17122,4308786,0.0291,211,349187,2328645,2255767,186,NA,NA
2021-W31,594459,68446504,22524,4331310,0.0379,213,348943,2339787,2255509,187,NA,NA
2021-W32,572722,69019226,34300,4365610,0.0599,208,347807,2335467,2257209,186,NA,NA
2021-W33,695805,69715031,54021,4419631,0.0776,209,348987,2330887,2261459,187,NA,NA
2021-W34,866361,70581392,70612,4490243,0.0815,212,363113,2439155,2358957,189,NA,NA
2021-W35,951403,71532795,82183,4572426,0.0864,214,363637,2441237,2352749,190,NA,NA
